Fuvar{taxi_id=6213, idotartam=660, indulas=2016-12-02 09:30:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=7.5, borravalo=0.0}
Fuvar{taxi_id=7690, idotartam=960, indulas=2016-12-22 15:15:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=9.25, borravalo=0.0}
Fuvar{taxi_id=7489, idotartam=420, indulas=2016-12-21 21:45:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=7.5, borravalo=0.0}
Fuvar{taxi_id=4938, idotartam=1260, indulas=2016-12-06 19:30:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=13.75, borravalo=0.0}
Fuvar{taxi_id=7540, idotartam=1440, indulas=2016-12-19 11:15:00, fizetes_modja=készpénz, tavolsag=9.0, viteldij=25.75, borravalo=0.0}
Fuvar{taxi_id=797, idotartam=420, indulas=2016-12-30 09:45:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=7.5, borravalo=0.0}
Fuvar{taxi_id=4866, idotartam=660, indulas=2016-12-03 10:45:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=8.5, borravalo=0.0}
Fuvar{taxi_id=6301, idotartam=2520, indulas=2016-12-19 06:45:00, fizetes_modja=készpénz, tavolsag=29.0, viteldij=71.5, borravalo=0.0}
Fuvar{taxi_id=6749, idotartam=360, indulas=2016-12-14 16:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=6.0, borravalo=0.0}
Fuvar{taxi_id=8054, idotartam=240, indulas=2016-12-29 08:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.0, borravalo=0.0}
Fuvar{taxi_id=2127, idotartam=540, indulas=2016-12-05 13:30:00, fizetes_modja=készpénz, tavolsag=2.0, viteldij=9.0, borravalo=0.0}
Fuvar{taxi_id=6956, idotartam=360, indulas=2016-12-21 14:30:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.5, borravalo=0.0}
Fuvar{taxi_id=1347, idotartam=60, indulas=2016-12-15 05:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=3.25, borravalo=0.0}
Fuvar{taxi_id=4999, idotartam=360, indulas=2016-12-10 03:30:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=6.0, borravalo=0.0}
Fuvar{taxi_id=5564, idotartam=480, indulas=2016-12-01 08:15:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=7.25, borravalo=0.0}
Fuvar{taxi_id=6113, idotartam=900, indulas=2016-12-19 14:15:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=9.75, borravalo=0.0}
Fuvar{taxi_id=4107, idotartam=180, indulas=2016-12-13 16:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.0, borravalo=0.0}
Fuvar{taxi_id=2601, idotartam=420, indulas=2016-12-03 12:15:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=9.0, borravalo=0.0}
Fuvar{taxi_id=8583, idotartam=660, indulas=2016-12-09 13:15:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=8.25, borravalo=0.0}
Fuvar{taxi_id=118, idotartam=1380, indulas=2016-12-16 18:15:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=11.5, borravalo=0.0}
Fuvar{taxi_id=2486, idotartam=540, indulas=2016-12-08 20:00:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=7.5, borravalo=0.0}
Fuvar{taxi_id=8232, idotartam=540, indulas=2016-12-23 00:30:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=12.25, borravalo=0.0}
Fuvar{taxi_id=8596, idotartam=360, indulas=2016-12-18 11:15:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=6.5, borravalo=0.0}
Fuvar{taxi_id=5475, idotartam=240, indulas=2016-12-07 10:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.25, borravalo=0.0}
Fuvar{taxi_id=1460, idotartam=1740, indulas=2016-12-22 11:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=15.75, borravalo=0.0}
Fuvar{taxi_id=6820, idotartam=960, indulas=2016-12-14 13:45:00, fizetes_modja=készpénz, tavolsag=2.0, viteldij=10.25, borravalo=0.0}
Fuvar{taxi_id=5029, idotartam=660, indulas=2016-12-08 19:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=7.0, borravalo=0.0}
Fuvar{taxi_id=5406, idotartam=360, indulas=2016-12-23 09:30:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=6.0, borravalo=0.0}
Fuvar{taxi_id=4119, idotartam=1440, indulas=2016-12-31 19:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=18.0, borravalo=0.0}
Fuvar{taxi_id=2236, idotartam=480, indulas=2016-12-09 17:30:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=5.75, borravalo=0.0}
Fuvar{taxi_id=1210, idotartam=780, indulas=2016-12-04 17:45:00, fizetes_modja=készpénz, tavolsag=3.0, viteldij=11.75, borravalo=0.0}
Fuvar{taxi_id=827, idotartam=900, indulas=2016-12-10 17:30:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=8.0, borravalo=0.0}
Fuvar{taxi_id=298, idotartam=1860, indulas=2016-12-12 12:15:00, fizetes_modja=készpénz, tavolsag=14.0, viteldij=39.0, borravalo=0.0}
Fuvar{taxi_id=2642, idotartam=1980, indulas=2016-12-10 23:00:00, fizetes_modja=készpénz, tavolsag=12.0, viteldij=34.25, borravalo=0.0}
Fuvar{taxi_id=2102, idotartam=660, indulas=2016-12-16 14:45:00, fizetes_modja=készpénz, tavolsag=2.0, viteldij=10.0, borravalo=0.0}
Fuvar{taxi_id=1438, idotartam=900, indulas=2016-12-12 18:15:00, fizetes_modja=készpénz, tavolsag=1.0, viteldij=9.0, borravalo=0.0}
Fuvar{taxi_id=2022, idotartam=0, indulas=2016-12-20 00:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=3.25, borravalo=0.0}
Fuvar{taxi_id=4089, idotartam=360, indulas=2016-12-11 13:45:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=6.0, borravalo=0.0}
Fuvar{taxi_id=1426, idotartam=480, indulas=2016-12-27 19:30:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=6.5, borravalo=0.0}
Fuvar{taxi_id=2330, idotartam=420, indulas=2016-12-31 03:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=10.25, borravalo=0.0}
Fuvar{taxi_id=8232, idotartam=840, indulas=2016-12-22 13:00:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=14.25, borravalo=0.0}
Fuvar{taxi_id=2828, idotartam=180, indulas=2016-12-09 23:15:00, fizetes_modja=készpénz, tavolsag=0.0, viteldij=4.5, borravalo=0.0}
Fuvar{taxi_id=7802, idotartam=1740, indulas=2016-12-22 14:00:00, fizetes_modja=készpénz, tavolsag=6.0, viteldij=21.5, borravalo=0.0}
